FEN,Response Move
r3k2r/1pp2ppn/p1q1p1p1/2Np2P1/1n3P2/3BP3/PPP1Q2P/2KR3R w kq - 5 19,c5b3
r3k2r/1pp2ppn/p1q1p1p1/3p2P1/1n3P2/1N1BP3/1PP1Q2P/1K1R3R w kq - 2 21,c2c3
r3k2r/1pp2ppn/p1q1p1p1/3p2P1/5P2/1N1BP3/nPP1Q2P/2KR3R w kq - 0 20,c1b1
r3k2r/1pp2ppn/p1q1p1p1/3p2P1/5P2/1NPnP3/1P2Q2P/1K1R3R w kq - 0 22,d1d3
r3k2r/1pp2ppn/p3p1p1/1q1p2P1/5P2/1NPRP3/1P2Q2P/1K5R w kq - 1 23,b1c2
r3k2r/1pp2ppp/p3p3/3pP1P1/1q2bP1P/4P3/PPP1B3/R2QKR2 w Qkq - 3 18,c2c3
r3k2r/1pp2ppp/p3p3/3pP1P1/2P1bP1P/2q1P3/P3B3/R2QKR2 w Qkq - 1 20,e1f2
r3k2r/1pp2ppp/p3p3/3pP1P1/4bP1P/2P1P3/Pq2B3/R2QKR2 w Qkq - 0 19,c3c4
r3k2r/1pp2ppp/p3p3/4P1P1/2p1bP1P/2q1P3/P3BK2/R2Q1R2 w kq - 0 21,d1a4
r3k2r/1pp4p/p2bp1p1/8/3P1P2/1P1p4/PB3RPP/4R1K1 b kq - 1 18,e8d7
r3k2r/1pp4p/p2bp1p1/8/3PpP2/1P1N4/PB3RPP/R5K1 b kq - 0 17,e4d3
r3k2r/1ppbq1pp/4p3/p2pPp2/P2P4/2PB1Q2/2P2PPP/R4RK1 w kq - 0 14,d3b5
r3k2r/1ppq1pp1/p3pnp1/3pn3/6P1/2NBPP2/PPP1Q2P/2KR3R w kq - 2 15,g4g5
r3k2r/1ppq1ppn/p1n1p1p1/3p2P1/5P2/2NBP3/PPP1Q2P/2KR3R w kq - 1 17,c3a4
r3k2r/1ppq1ppn/p3p1p1/3p2P1/Nn3P2/3BP3/PPP1Q2P/2KR3R w kq - 3 18,a4c5
r3k2r/1ppq1ppn/p3p1p1/3pn1P1/8/2NBPP2/PPP1Q2P/2KR3R w kq - 1 16,f3f4
r3k2r/1ppqnpb1/p2p2pp/3Pp2n/4P2P/2N1BN2/PPPQ1PP1/R4RK1 b kq - 1 13,d7g4
r3k2r/1ppqnpbp/p2p1np1/3Pp1B1/4P2P/2N2N2/PPP2PP1/R2Q1RK1 b kq - 0 11,f6h5
r3k2r/1ppqnpbp/p2p2p1/3Pp1Bn/4P2P/2N2N2/PPPQ1PP1/R4RK1 b kq - 2 12,h7h6
r3k2r/1q1nb3/p6p/5Pp1/Q3bp2/8/PPP2N1P/R1B1RK2 b kq - 0 26,e4f5
r3k2r/1q1nb3/p6p/5bp1/5p2/Q7/PPP2N1P/R1B1RK2 b kq - 1 27,h8h7
r3k2r/2R1nppp/1p6/p1b1P3/3pPBPP/5P2/4K3/5R2 b kq - 0 22,e8g8
r3k2r/2p2p1p/2n1p3/pp1p1p2/7P/P1P1P3/2P2PP1/1R2KB1R b Kkq - 1 17,c6a7
r3k2r/2p2p1p/4p3/pR1p1p2/7P/P1P1P3/2P2PP1/4K2R b Kkq - 0 19,e8e7
r3k2r/2p2p1p/p1n1p3/1p1p1p2/1b5P/P1N1P3/1PP2PP1/2R1KB1R b Kkq - 0 15,b4c3
r3k2r/2p2p1p/p1n1p3/1p1p1p2/7P/P1P1P3/2P2PP1/2R1KB1R b Kkq - 0 16,a6a5
r3k2r/2p2ppp/p1nbpn2/1P2q3/8/1P1BBP2/PN1Q1P1P/R3K2R b KQkq - 0 17,d6b4
r3k2r/2pbqpp1/2np3p/4P3/1PB1n3/1QP2N2/5RPP/RNB3K1 b kq - 0 15,a8a1
r3k2r/2pqbppp/p1pp1nb1/8/3PN3/5N2/PPPBQPPP/2K1R2R b kq - 4 13,f6e4
r3k2r/2pqbppp/p1pp2b1/8/3Pn3/4BN2/PPP1QPPP/2K1R2R b kq - 1 14,e8g8
r3k2r/2q2p1p/b3pQp1/p1ppP3/P7/2P2N2/2P2PPP/R3R1K1 b kq - 0 18,h8g8
r3k2r/2q2pbp/1pnpb1p1/2p1p1P1/1p1PP3/1PP2N1P/PBQ2P2/1K1R1B1R b kq - 0 19,b4c3
r3k2r/2q2pbp/1pnpb1p1/2p1p1P1/3PP3/1PB2N1P/P1Q2P2/1K1R1B1R b kq - 0 20,e5d4
r3k2r/2q2pbp/1pnpb1p1/2p3P1/3pP3/1P3N1P/PBQ2P2/1K1R1B1R b kq - 1 21,e8g8
r3k2r/3Bbppp/3p4/p1q1n3/P3P3/8/1PP1QPPP/RN3RK1 b kq - 0 15,e5d7
r3k2r/3bb1pp/4pn2/p2pB1q1/1ppP4/2P5/PP1NBPPP/R2Q1RK1 w kq - 5 17,a2a4
r3k2r/3bb1pp/4pn2/p2pB1q1/P1pP4/1pP5/1P1NBPPP/R2Q1RK1 w kq - 0 18,d2f3
r3k2r/3bb1pp/4pn2/p2pB3/P1pPq2N/1pP5/1P2BPPP/R2Q1RK1 w kq - 4 20,g2g3
r3k2r/3bb1pp/4pnq1/p2pB3/P1pP4/1pP2N2/1P2BPPP/R2Q1RK1 w kq - 2 19,f3h4
r3k2r/3bp1bp/2pn2p1/1p1p2P1/Pp1P4/1P3N2/4PPB1/BN3K1R b kq - 1 20,b5a4
r3k2r/3bp1bp/2pn2p1/3p2P1/Pp1P4/5N2/4PPB1/BN3K1R b kq - 0 21,a8a4
r3k2r/3bppbp/2pn2P1/1p1p2P1/Pp1P4/1P6/4PPB1/BN3KNR b kq - 0 19,f7g6
r3k2r/3nbppp/3p4/p1q5/P3P3/2P5/1P2QPPP/RN3RK1 b kq - 0 16,a8b8
r3k2r/3pppbp/p1n3p1/3n4/1P1P4/P4N2/1BQ2PPP/4RRK1 b kq - 3 16,e8g8
r3k2r/4Bppp/3pp3/5b1Q/3P4/1P1qP3/5PPP/5RK1 b kq - 0 21,a8a2
r3k2r/4Nppp/3pp3/3n1bB1/2qP4/1P2P3/5PPP/3Q1RK1 b kq - 0 19,c4d3
r3k2r/4Nppp/3pp3/3n1bBQ/3P4/1P1qP3/5PPP/5RK1 b kq - 2 20,d5e7
r3k2r/4npp1/p1q1p1b1/1p1pP1Pp/2pP3P/P1N2QP1/1PP1B3/2KR2R1 w kq - 1 22,e2f1
r3k2r/4npp1/p2qp1b1/1p1p2Pp/2pPP2P/P1N2QP1/1PP1B3/2KR2R1 w kq - 1 21,e4e5
r3k2r/5p2/p1p1b2B/1P1qp3/P5p1/N1P3Pp/5P1P/R2Q1RK1 b kq - 0 21,d5g2
r3k2r/5p2/p1p1b2B/1P1qp3/P5pp/N1P5/5PPP/R2Q1RK1 b kq - 0 20,h4h3
r3k2r/5pp1/1q2p1b1/p2pP1Pp/1ppP2Pn/P5QB/1PP1N3/2KR2R1 w kq - 0 27,a3a4
r3k2r/5pp1/1q2p1b1/p2pP1Pp/P1pP2PQ/7B/1Pp1N3/2KR2R1 w kq - 0 29,d1d2
r3k2r/5pp1/1q2p1b1/p2pP1Pp/P1pP2Pn/1p4QB/1PP1N3/2KR2R1 w kq - 0 28,g3h4
r3k2r/5pp1/1q2p1b1/pp1pP1Pp/2pP2Pn/P4Q1B/1PP1N3/2KR2R1 w kq - 0 26,f3g3
r3k2r/5pp1/1q2p1b1/pp1pPnPp/2pP3P/P4QPB/1PP1N3/2KR2R1 w kq - 0 25,g3g4
r3k2r/5pp1/4p1b1/p2pP1Pp/P1pP2PQ/1q5B/1PpRN3/2K3R1 w kq - 2 30,e2c3
r3k2r/5pp1/p1q1p1b1/1p1pPnPp/2pP3P/P1N2QP1/1PP5/2KR1BR1 w kq - 3 23,c3e2
r3k2r/5pp1/p2qp1b1/1p1p1nPp/2pP3P/P1N1PQP1/1PP1B3/2KR2R1 w kq - 0 20,e3e4
r3k2r/5pp1/pq2p1b1/1p1pPnPp/2pP3P/P4QP1/1PP1N3/2KR1BR1 w kq - 5 24,f1h3
r3k2r/5ppp/p1p1p3/1p2P1P1/Q3bP1P/4P3/P2qBK2/R4R2 w kq - 0 24,a4d1
r3k2r/5ppp/p1p1p3/qp2P1P1/4bP1P/4P3/P3BK2/R2Q1R2 w kq - 2 25,d1c1
r3k2r/5ppp/p1pp2q1/4p3/4P3/2QNB2b/PPP1KP1P/R7 b kq - 3 18,g6g4
r3k2r/5ppp/p1pp4/4p3/4P1q1/2QNB2b/PPPK1P1P/R7 b kq - 5 19,a8b8
r3k2r/5q2/p6p/2pP2p1/2P1P1b1/5pP1/P1NQ1K1P/4R2B b kq - 0 25,e8g8
r3k2r/5q2/p6p/2pP2p1/2PbP1b1/5pP1/P1NQ1R1P/4R1KB b kq - 3 24,d4f2
r3k2r/5q2/p6p/2pPb1p1/2P1P1b1/N4pP1/P2Q1R1P/4R1KB b kq - 1 23,e5d4
r3k2r/b1pbqpp1/2np1n1p/4p3/1PBPP3/1QP2N2/5PPP/RNB2RK1 b kq - 0 13,f6e4
r3k2r/b1pbqpp1/2np3p/4P3/1PB1n3/1QP2N2/5PPP/RNB2RK1 b kq - 0 14,a7f2
r3k2r/n1p2p1p/4p3/pB1p1p2/7P/P1P1P3/2P2PP1/1R2K2R b Kkq - 0 18,a7b5
r3k2r/p1Q1nppp/2p1p3/3p4/2pP2q1/1P2P3/P1P2P1P/5K2 b kq - 3 18,g4d1
r3k2r/p1Q1nppp/2p1p3/3p4/2pP4/1P2P3/P1P1KPqP/8 b kq - 1 17,g2g4
r3k2r/p1Q1nppp/2p1p3/3p4/2pP4/1P2P3/P1P2PKP/3q4 b kq - 5 19,d1c2
r3k2r/p1R5/2n1p3/2p3p1/8/8/PPP2PPP/2K2B1R w - - 0 24,c7c6
r3k2r/p1p1npQp/3q4/4p2p/1pPpP3/1P1P3P/P4PP1/RNB1K2R b KQkq - 0 16,h8g8
r3k2r/p1p1npbp/3q1np1/4p3/1pPpP3/1P1P2QP/P3BPP1/RNB1K2R b KQkq - 2 14,f6h5
r3k2r/p1p1npbp/3q2p1/4p2B/1pPpP3/1P1P2QP/P4PP1/RNB1K2R b KQkq - 0 15,g6h5
r3k2r/p1p2pbp/2nq1np1/4p3/1pPpP3/1P1P1Q1P/P3BPP1/RNB1K2R b KQkq - 0 13,c6e7
r3k2r/p1p2pp1/2pbpn1p/3p4/3N4/4P1P1/PPPP1PP1/R1B1K2R b KQkq - 3 12,e8g8
r3k2r/p1p2ppp/2p1p3/3pP3/3P4/2n5/PPP2PPP/R4RK1 w kq - 0 14,b2c3
r3k2r/p1p2ppp/2p1p3/3pP3/3Pn3/8/PPP2PPP/RN3RK1 w kq - 1 13,b1c3
r3k2r/p1p2ppp/2p1pn2/3pq3/3P1P2/8/PPP2PPP/RN3RK1 w kq - 0 12,f4e5
r3k2r/p1p2ppp/2pqpn2/3p4/3P1P2/8/PPP1QPPP/RN3RK1 w kq - 1 11,e2e5
r3k2r/p1p3pp/1p2p3/3b2p1/8/P1P5/2PK1PPP/R6R w kq - 0 19,h1e1
r3k2r/p1pR4/1pn1p3/2N3p1/8/8/PPP2PPP/2K2B1R w - - 0 23,d7c7
r3k2r/p1pq1pbp/b2p1np1/N1pN4/4P3/8/PPP2PPP/R1BQR1K1 b kq - 5 12,e8g8
r3k2r/p1q2p1p/2npb1pb/2pnp1P1/1pN5/1PPPPN1P/PBQ2P2/1K1R1B1R b kq - 0 16,h6g7
r3k2r/p1q2pbp/1Nnpb1p1/2p1p1P1/1p2P3/1PPP1N1P/PBQ2P2/1K1R1B1R b kq - 0 18,a7b6
r3k2r/p1q2pbp/2npb1p1/2pnp1P1/1pN1P3/1PPP1N1P/PBQ2P2/1K1R1B1R b kq - 0 17,d5b6
r3k2r/p1q2pp1/2nb1n1p/4p3/Q3P3/1PP2N2/P4PPP/R1B1R1K1 b kq - 0 16,e8g8
r3k2r/p1q2ppp/b1Nb1n2/2pP4/2P5/3P4/PP3PPP/RNBQ1RK1 b kq - 2 10,e8g8
r3k2r/p1qn1p2/1p1bpn1p/2p3B1/2P5/1N1P1N1P/PP3PP1/R2Q1RK1 b kq - 0 16,h6g5
r3k2r/p1qn1p2/1p1bpn2/2p3N1/2P5/1N1P3P/PP3PP1/R2Q1RK1 b kq - 0 17,e8c8
r3k2r/p1qn1pp1/1p1bpn1p/2p5/2P4B/1N1P1N1P/PP3PP1/R2Q1RK1 b kq - 0 15,g7g5
r3k2r/p2b1ppp/2nQp1qn/4P3/1P6/P4N2/5PPP/R1BR2K1 b kq - 2 17,a8d8
r3k2r/p2b4/2pb4/2p1P1p1/N7/8/PPP2R2/R5K1 b kq - 0 26,h8g8
r3k2r/p2bb1pp/2pp1p1n/2p5/4PBN1/2NP4/PPP2PPP/R2Q1RK1 b kq - 2 12,g7g5
r3k2r/p2bb2p/2pp1p1n/2p3p1/4P1N1/2NP2B1/PPP2PPP/R2Q1RK1 b kq - 1 13,h6g4
r3k2r/p2bb2p/2pp1p2/2p3p1/4P1n1/2NP1PB1/PPP3PP/R2Q1RK1 b kq - 0 14,h7h5
r3k2r/p2bb3/2pB4/2p3p1/N3P3/8/PPP2R2/R5K1 b kq - 0 25,e7d6
r3k2r/p2bb3/2pp1p2/2p3pp/4P1P1/2NP2B1/PPP3PP/R2Q1RK1 b kq - 0 15,d7g4
r3k2r/p2bbppp/2p1pn2/8/3QP3/8/PP1N1PPP/R1B2RK1 b kq - 0 13,e8g8
r3k2r/p2p1pp1/3b1q1p/1BpPp3/8/5P2/PPPQ2PP/R3K2R b KQkq - 0 13,e8g8
r3k2r/p2q1p1p/1p2p1p1/n7/3Pp1Pb/2P1P2P/PPK1Q3/R1B3R1 b kq - 2 22,e8c8
r3k2r/p2q1p1p/2p1bQp1/6B1/4P3/2N3P1/PPP4P/R3K2R b KQkq - 0 15,h8g8
r3k2r/p3b3/2pp1p2/2p3p1/N3P1bp/3P4/PPP2BPP/R4RK1 b kq - 1 19,g4e6
r3k2r/p3b3/2pp1p2/2p3pp/4P3/2NP2B1/PPP3PP/R2b1RK1 b kq - 1 17,d1g4
r3k2r/p3b3/2pp1p2/2p3pp/4PRb1/2NP2B1/PPP3PP/R2Q2K1 b kq - 1 16,g4d1
r3k2r/p3b3/2pp1p2/2p3pp/N3P1b1/3P2B1/PPP3PP/R4RK1 b kq - 3 18,h5h4
r3k2r/p3b3/2pp4/2p3p1/N3P3/6Bb/PPP2R2/R5K1 b kq - 1 24,h3d7
r3k2r/p3b3/2ppb3/2p2pp1/N3P3/3P2BP/PPP5/R4RK1 b kq - 0 22,f5e4
r3k2r/p3b3/2ppb3/2p3p1/N3P3/6BP/PPP5/R4RK1 b kq - 0 23,e6h3
r3k2r/p3b3/2ppbp2/2p3p1/N3P2p/3P2P1/PPP2B1P/R4RK1 b kq - 0 20,h4g3
r3k2r/p3b3/2ppbp2/2p3p1/N3P3/3P2B1/PPP4P/R4RK1 b kq - 0 21,f6f5
r3k2r/p3bppp/3B4/8/2p3B1/2Pp4/P5P1/RN2R2K b kq - 3 21,e8g8
r3k2r/p3bppp/3p4/1p1P4/5P2/1Pq4P/P2NR1B1/1RB1K3 b kq - 0 22,e8g8
r3k2r/p3bppp/b1p4q/4P3/1p1P1p2/2P2N2/PP4PP/R1BQR1K1 b kq - 3 15,e8g8
r3k2r/p3nppp/2p1p3/3p4/1qpP4/1PN1P3/P1P2PPP/R2QK2R b KQkq - 1 13,b4c3
r3k2r/p3nppp/2p1p3/3p4/2pP4/1P2P3/P1PQKPPP/q6R b kq - 1 15,a1h1
r3k2r/p3nppp/2p1p3/3p4/2pP4/1Pq1P3/P1PQ1PPP/R3K2R b KQkq - 1 14,c3a1
r3k2r/p3nppp/2p1p3/Q2p4/2pP4/1P2P3/P1P1KPPP/7q b kq - 1 16,h1g2
r3k2r/p3nppp/2p1p3/q2p4/NBpP4/1P2P3/P1P2PPP/R2QK2R b KQkq - 0 12,a5b4
r3k2r/p4p1p/2npb1pb/q1p1p3/1p3nP1/1PPPPN1P/PBQN1P2/1K1R1B1R b kq - 0 14,f4d5
r3k2r/p4p1p/2npb1pb/q1pnp3/1pN3P1/1PPPPN1P/PBQ2P2/1K1R1B1R b kq - 2 15,a5c7
r3k2r/p4p1p/2npb1pb/qpp1p3/5nP1/1PPP1N1P/PBQNPP2/1K1R1B1R b kq - 6 13,b5b4
r3k2r/p4p1p/2npb1pb/qppnp3/6P1/1PPP1N1P/PBQNPPB1/1K1R3R b kq - 4 12,d5f4
r3k2r/p4p2/2pp4/5pqp/P1BRP3/1P6/2P2PPP/R5K1 b kq - 0 17,h8g8
r3k2r/p4p2/B1p2q1p/2b5/6b1/5P2/PPP3PP/R2QK2R b KQkq - 1 15,e8g8
r3k2r/p4pp1/2nb1n1p/q3p3/p1Q1P3/1PP2N2/P4PPP/R1B1R1K1 b kq - 0 15,a5c7
r3k2r/p4pp1/2nbbn1p/q3p3/p1N1P3/1PP2N2/P3QPPP/R1B1R1K1 b kq - 0 14,e6c4
r3k2r/p4pp1/2nbbn1p/qp2p3/B1p1P3/NPP2N2/P3QPPP/R1B1R1K1 b kq - 1 13,b5a4
r3k2r/p4pp1/2pq1n2/2pp3p/3P2b1/1PN1PNP1/P1P2PKP/R2Q1R2 b kq - 2 15,f6e4
r3k2r/p4pp1/2pq4/2pp3p/3PN1b1/1P2PNP1/P1P2PKP/R2Q1R2 b kq - 0 16,d5e4
r3k2r/p4pp1/2pqbn2/2pp3p/3P4/1PN1PNP1/P1P2P1P/R2Q1RK1 b kq - 0 14,e6g4
r3k2r/p4ppp/1pn5/2bpp3/8/2q1P1B1/P1P1BPPP/1R1Q1K1R w kq - 0 14,d1d5
r3k2r/p4ppp/8/1pb5/2P2BB1/2Pp4/P5P1/RN1R3K b kq - 0 19,b5c4
r3k2r/p4ppp/8/2b5/2p2BB1/2Pp4/P5P1/RN2R2K b kq - 1 20,c5e7
r3k2r/p4q2/1p5p/1NPPb1p1/2P1Ppb1/6P1/P2Q2BP/4RRK1 b kq - 0 20,b6c5
r3k2r/p4q2/7p/1NpPb1p1/2P1P1b1/5pP1/P2Q1R1P/4R1KB b kq - 1 22,a7a6
r3k2r/p4q2/7p/1NpPb1p1/2P1Ppb1/6P1/P2Q1RBP/4R1K1 b kq - 1 21,f4f3
r3k2r/pBp2p2/3p1n2/4pP2/6p1/2PPP1P1/PP6/R4RK1 b kq - 0 21,a8b8
r3k2r/pQ2nppp/2p1p3/3p4/2pP4/1P2P3/P1q2PKP/8 b kq - 1 20,a8c8
r3k2r/pQpb1p2/3p1q2/3Pp3/2P1P1p1/2N3P1/PP1NB1K1/R6R b kq - 0 19,e8e7
r3k2r/pQpb1p2/3p1q2/3Pp3/2P1P1pp/2N3P1/PP1NB1KP/R6R b kq - 0 18,h4g3
r3k2r/pb1p1pp1/3b1q1p/1BpNp3/4P3/5P2/PPPQ2PP/R3K2R b KQkq - 3 12,b7d5
r3k2r/pbp2ppp/1p2p3/2qp2B1/8/P1PnP3/2PKQPPP/R6R w kq - 0 15,e2d3
r3k2r/pbp2ppp/1p2p3/2qpn1BQ/8/P1PBP3/2PK1PPP/R6R w kq - 0 14,h5e2
r3k2r/pbp3pp/1p2p3/2qp2p1/4P3/P1PQ4/2PK1PPP/R6R w kq - 0 17,e4d5
r3k2r/pbp3pp/1p2p3/3q2p1/8/P1PQ4/2PK1PPP/R6R w kq - 0 18,d3d5
r3k2r/pbp3pp/1p2pp2/2qp2B1/8/P1PQP3/2PK1PPP/R6R w kq - 0 16,e3e4
r3k2r/pbpn1ppp/1p2p3/2qpP1BQ/8/P1PBP3/2P2PPP/R3K2R w KQkq - 5 13,e1d2
r3k2r/pbpnqppp/1p2p3/3pP2Q/5B2/P1PBP3/2P2PPP/R3K2R w KQkq - 3 12,f4g5
r3k2r/pbpp1p2/1p1bp2n/6q1/1P1P4/2PBPQ1P/P2N2P1/R4RK1 b kq - 1 16,b7f3
r3k2r/pp1Pqpb1/3p3p/6p1/N1P3n1/5pP1/P2QPPBP/3R1RK1 b kq - 0 18,e7d7
r3k2r/pp1bbppp/2B1pn2/8/Q2pP3/8/PP1N1PPP/R1B2RK1 b kq - 0 12,b7c6
r3k2r/pp1bn1pp/2npqp2/1B6/3Np3/P3B3/2P2PPP/R2QK2R w KQkq - 4 16,d4e6
r3k2r/pp1bnpbp/1q1p1np1/2pPp3/2P1P3/1PNB1P1N/P2B2PP/R2QK2R b KQkq - 2 11,a7a6
r3k2r/pp1bppbp/1Qpn2p1/3p2P1/3P3P/1P6/P3PPB1/BN3KNR b kq - 0 15,a7b6
r3k2r/pp1bqp2/1b1p4/3Pp1Bp/1PP3nP/P2P1QP1/6PN/R4R1K b kq - 4 20,g4f2
r3k2r/pp1bqp2/1b1p4/3Pp1Bp/1PP4P/P2P1QP1/5RPN/R6K b kq - 0 21,d7g4
r3k2r/pp1bqpb1/2Pp3p/6p1/N1P1p1n1/5NP1/P2QPPBP/3R1RK1 b kq - 0 17,e4f3
r3k2r/pp1bqpb1/2np1n1p/4p1p1/NPP5/5NP1/P2QPPBP/3R1RK1 b kq - 0 15,f6g4
r3k2r/pp1bqpb1/2np3p/1P2p1p1/N1P3n1/5NP1/P2QPPBP/3R1RK1 b kq - 0 16,e5e4
r3k2r/pp1n1pp1/2p1pn1p/q2pN3/3P1B2/2PPP2P/P4PP1/R2QK2R w KQkq - 1 12,d1c2
r3k2r/pp1q1p1n/2p1p2p/1n1p2p1/3P4/2PBP1QP/P1P2PPB/R4RK1 w kq - 4 17,g3e5
r3k2r/pp1q1pb1/3p3p/6p1/N1P3n1/5BP1/P2QPP1P/3R1RK1 b kq - 0 19,e8g8
r3k2r/pp1q3n/2p1pp1p/1n1pQ1p1/3P4/2PBP2P/P1P2PPB/R4RK1 w kq - 0 18,e5g3
r3k2r/pp1q3n/2p1pp1p/3p2p1/3P4/2nBP1QP/P1P2PPB/R4RK1 w kq - 0 19,d3g6
r3k2r/pp1qnppb/2n1p2p/2QpP3/3p1P2/6PB/PPPB3P/2KR2NR b kq - 2 15,a8c8
r3k2r/pp2bpp1/1qnpb2p/4p1N1/P3P1P1/2NQ3P/1PPP1P2/R1B1KB1R b KQkq - 0 13,e7g5
r3k2r/pp2bpp1/1qnpbn1p/1Q2p3/P3P1P1/2N2N1P/1PPP1P2/R1B1KB1R b KQkq - 0 11,f6h7
r3k2r/pp2bppn/1qnpb2p/4p3/P3P1P1/2NQ1N1P/1PPP1P2/R1B1KB1R b KQkq - 2 12,h7g5
r3k2r/pp2n1pp/2npbp2/1B6/4p3/P3B3/2P2PPP/R2QK2R w KQkq - 0 17,d1d6
r3k2r/pp2qp2/1b1p4/3Pp1Bp/1PP3NP/P2P1QP1/5RP1/R6K b kq - 0 22,h5g4
r3k2r/pp2qp2/1b1p4/3PpQB1/1PP3pP/P2P2P1/5RP1/R6K b kq - 1 23,e7c7
r3k2r/pp3p2/2P2q1p/2b5/6b1/3B1P2/PPP3PP/R2QK2R b KQkq - 0 14,b7c6
r3k2r/pp3pb1/1qnpbp1p/2p1p3/4P2B/1PPP1N2/P4PPP/R2QKB1R b KQkq - 0 11,b6a5
r3k2r/pp3pb1/2np1p1p/2p1p3/2Q1P2B/3P1N2/5PPP/2R1KB1R b Kkq - 0 15,c6d4
r3k2r/pp3pb1/2npbp1p/2p1p3/2P1P2B/1P1P1N2/q4PPP/2RQKB1R b Kkq - 0 13,a2b3
r3k2r/pp3pb1/2npbp1p/2p1p3/2P1P2B/1Q1P1N2/5PPP/2R1KB1R b Kkq - 0 14,e6c4
r3k2r/pp3pb1/2npbp1p/q1p1p3/4P2B/1PPP1N2/P4PPP/2RQKB1R b Kkq - 2 12,a5a2
r3k2r/pp3pb1/3p1p1p/1Q2p3/3pP2B/3P4/5PPP/2R1KB1R b Kkq - 1 17,e8e7
r3k2r/pp3pb1/3p1p1p/2p1p3/2QNP2B/3P4/5PPP/2R1KB1R b Kkq - 0 16,c5d4
r3k2r/pp3pbp/3pbqp1/4p3/2PpP1B1/1P1P4/P4PPP/RN1Q1RK1 b kq - 1 12,e8g8
r3k2r/pp3pp1/1qnpb2p/P3p1b1/4P1P1/2NQ3P/1PPP1P2/R1B1KB1R b KQkq - 0 14,b6c7
r3k2r/pp3pp1/2nbbn1p/q3p3/B1p1P3/1PP2N2/P3QPPP/RNB1R1K1 b kq - 0 12,b7b5
r3k2r/pp3pp1/2nbp3/2pp3P/3P4/P1P1P3/1P1N1PP1/R1B2RK1 b kq - 0 16,h8h5
r3k2r/pp3pp1/3b2p1/2pP1bn1/2B5/N7/PP2NPPP/R4RK1 b kq - 3 14,h8h2
r3k2r/pp3ppp/2n5/2bpp3/8/2q1P1B1/P1P1BPPP/R2Q1K1R w kq - 0 13,a1b1
r3k2r/pp3ppp/2nbp3/2pp1bq1/3P2B1/P1P1P2P/1P1N1PP1/R1BQ1RK1 b kq - 2 13,f5g4
r3k2r/pp3ppp/2nbp3/2pp2q1/3P2Q1/P1P1P2P/1P1N1PP1/R1B2RK1 b kq - 0 14,g5g4
r3k2r/pp3ppp/2nbp3/2pp4/3P2P1/P1P1P3/1P1N1PP1/R1B2RK1 b kq - 0 15,h7h5
r3k2r/pp3ppp/2p1p1n1/2PpP1q1/8/P2BP3/1P3PPP/R2Q1RK1 w kq - 2 18,g2g3
r3k2r/pp3ppp/2p1p3/2Ppn1q1/8/P2BP1P1/1P3P1P/R2Q1RK1 w kq - 0 19,d3c2
r3k2r/pp3ppp/2p1pq2/2Ppn3/8/P3P1P1/1PB2P1P/R2Q1RK1 w kq - 2 20,d1e2
r3k2r/pp3ppp/3pb3/4p2P/P3P3/2KP1P2/6P1/R4BNR b kq - 0 19,e8c8
r3k2r/pp3ppp/4p3/q1p1P3/2Pp1P1P/3P1Q2/P4P2/R4K1R w kq - 0 19,f3b7
r3k2r/pp3ppp/4p3/q1ppP3/2P2P1P/3P1Q2/P4P2/R3K2R w KQkq - 1 18,e1f1
r3k2r/pp3ppp/5n2/q1b1p3/8/2NP1RP1/PPP1N2P/R3Q2K b kq - 4 17,e8g8
r3k2r/pp3ppp/8/2b5/2p2BB1/1PPp4/P5P1/RN1R3K b kq - 1 18,b7b5
r3k2r/ppB1bppp/2n2n2/5b2/1P6/2P2PP1/P3P2P/RN1K1BNR w kq - 1 11,e2e4
r3k2r/ppB1bppp/2n2nb1/8/1P2P3/2P2PP1/P6P/RN1K1BNR w kq - 1 12,g1e2
r3k2r/ppN2pb1/2npqnpp/2p1p3/4P3/1P1P1N2/P1PQ1PPP/R1B1K2R b KQkq - 2 12,e8e7
r3k2r/ppnbqp2/2p1pn1p/3pN1p1/3P4/2PBP2P/P1P2PPB/R2Q1RK1 w kq - 2 14,e5d7
r3k2r/ppnq1p1n/2p1p2p/3p2p1/3P4/2PBPQ1P/P1P2PPB/R4RK1 w kq - 2 16,f3g3
r3k2r/ppnq1p2/2p1pn1p/3p2p1/3P4/2PBP2P/P1P2PPB/R2Q1RK1 w kq - 0 15,d1f3
r3k2r/ppp1bppp/2b1p2q/4P3/1P2N3/P2B1QP1/2P2P1P/R4RK1 w kq - 1 17,b4b5
r3k2r/ppp1bppp/4p2q/1P1bP3/4N3/P2B1QP1/2P2P1P/R4RK1 w kq - 1 18,c2c4
r3k2r/ppp1bppp/4p2q/1P2P3/2P1b3/P2B1QP1/5P1P/R4RK1 w kq - 0 19,d3e4
r3k2r/ppp1npp1/1bn2q1p/1Q3bN1/5P2/2PB1P2/P1P4P/R3K2R b KQkq - 1 16,f5d3
r3k2r/ppp1npp1/1bn2q1p/1Q4N1/5P2/2PP1P2/P6P/R3K2R b KQkq - 0 17,h6g5
r3k2r/ppp1npp1/1bn2q2/6Q1/5P2/2PP1P2/P6P/R3K2R b KQkq - 0 18,h8h6
