FEN,Response Move
1k2r3/2pq1p1p/1bn2Bp1/1B2p3/QP6/2PP3P/5Pb1/RN2K1NR b KQ - 1 20,b6f2
1k2r3/2pq1p1p/1bnpbBp1/1B2p3/1P2P3/2PP1Q1P/5PP1/RN2K1NR b KQ - 1 17,d6d5
1k2r3/2pq1p1p/2n2Bp1/1B2p3/QP6/2PP3P/5bb1/RN1K2NR b - - 1 21,b8c8
1k2r3/b1pq1p1p/BPnpbBp1/4p3/1P2P3/2PP1Q1P/5PP1/RN2K1NR b KQ - 0 16,a7b6
1k2r3/pp6/2np4/8/1P1pP3/3P2p1/P1RK2P1/5RBr b - - 0 29,e8e5
1k2r3/pppB1p2/5Bpp/4P3/2N1P2P/6P1/PP2nb1K/1N1bn3 b - - 3 27,f2g3
1k2r3/pppB1p2/5Bpp/4P3/2N1P2P/6bK/PP2n3/1N1bn3 b - - 1 28,e8g8
1k3Q2/ppq5/3R4/3Pp3/2P5/2P3rP/PP1B2P1/R5K1 b - - 2 31,c7c8
1k3R2/1r5p/8/8/2B5/2bP2P1/P1P2K1P/8 b - - 10 34,b8a7
1k3b1r/p1p1pppp/8/5Q2/8/3P2P1/PPq2P1P/R1B2K1R b - - 0 20,e7e6
1k3b1r/p1p2ppp/4p3/1Q6/8/3P2P1/PPq2P1P/R1B2K1R b - - 1 21,b8c8
1k3b1r/ppp1nQpp/8/1q2p1B1/6P1/P2r3P/1P2NP2/R3R1K1 b - - 2 20,e7c8
1k3bnr/ppp2Qpp/8/1q2p3/6P1/P2r3P/1P2NP2/R1B1R1K1 b - - 0 19,g8e7
1k3q2/pp6/2pr4/6Q1/8/P1P2B1P/1P4P1/K7 b - - 0 35,f8f7
1k3r2/1b6/pb2R2n/1p6/5N1P/2R3p1/P1P5/5K2 b - - 4 31,f8f4
1k3r2/1p4R1/p5p1/2p3P1/5P2/2P5/1P6/1K1R4 w - - 1 38,d1d7
1k3r2/1pR1K3/pP4q1/4n3/P2pP3/8/8/8 b - - 11 49,g6f7
1k3r2/1pR2q2/pP1K4/4n3/P2pP3/8/8/8 b - - 13 50,f7f6
1k3r2/1pR5/pP3q2/3Kn3/P2pP3/8/8/8 b - - 15 51,f8d8
1k3r2/4R1R1/p5p1/2p3P1/8/2P5/KP6/8 w - - 7 43,g7g6
1k3r2/4R3/6R1/p1p3P1/8/2P5/KP6/8 w - - 0 44,g6a6
1k3r2/pp4P1/4Q3/8/2p1P3/P1P5/1P6/2K5 w - - 0 49,g7f8q
1k3r2/ppp3B1/4B2p/8/4P2p/6bK/PP2n3/1N1Nn3 b - - 2 33,f8f4
1k3r2/ppp5/3r4/8/3p1PR1/3B1K2/PPP2P1P/R1B5 b - - 2 25,d6h6
1k3r2/ppp5/7r/5B2/3K1PR1/8/PPP2P1P/R1B5 b - - 0 28,f8d8
1k3r2/ppp5/7r/5B2/3p1PR1/5K2/PPP2P1P/R1B5 b - - 4 26,h6h3
1k3r2/ppp5/8/5B2/3pKPR1/7r/PPP2P1P/R1B5 b - - 6 27,h3h6
1k4q1/ppp4p/3R1Q2/8/1P2p1r1/P5Nr/5P2/2R3K1 b - - 0 29,g4g3
1k4q1/ppp4p/3R1Q2/8/1P2p3/P5Pr/8/2R3K1 b - - 0 30,g8g3
1k4r1/1p2n2Q/1b1q4/pPp1pP2/P1PpP3/BN1P4/5r1P/3RR2K b - - 2 38,f2g2
1k4r1/1p2n2Q/1b1q4/pPp1pP2/P1PpP3/BN1P4/6rP/3R2RK b - - 4 39,g2g1
1k4r1/1p2n2Q/1b1q4/pPp1pP2/P1PpP3/BN1P4/7P/6RK b - - 0 40,g8g1
1k4r1/1p2n3/1b1q4/pPp1p3/P1PpPP2/BN1P3Q/3R1PrP/4R2K b - - 2 35,d6g6
1k4r1/1p2n3/1b4q1/pPp1p3/P1PpPP2/BN1P3Q/5PrP/3RR2K b - - 4 36,g2f2
1k4r1/1p2n3/1b4q1/pPp1pP2/P1PpP3/BN1P3Q/5r1P/3RR2K b - - 0 37,g6d6
1k4r1/pp1q4/3p1R1Q/2pPp3/8/2PP2PP/PP1B2P1/R5K1 b - - 0 28,c5c4
1k4r1/pp1q4/3p1R1Q/3Pp3/2P5/2P3PP/PP1B2P1/R5K1 b - - 0 29,g8g3
1k4r1/pp3RP1/4Q3/8/2p1P3/P1P5/1P6/2K5 w - - 1 48,f7f8
1k4r1/pp6/2npq2n/2pNp3/4P3/3P2PP/PPPB2P1/R2Q1RK1 b - - 2 23,c6d4
1k4r1/pp6/2npq3/2p1p3/4P1n1/2NP2PP/PPPB2P1/R2Q1RK1 b - - 0 22,g4h6
1k4r1/pp6/3pq2n/1npNp2Q/4P3/2PP2PP/PP1B2P1/R4RK1 b - - 2 25,b5c7
1k4r1/pp6/3pq2n/2pNp3/3nP3/2PP2PP/PP1B2P1/R2Q1RK1 b - - 0 24,d4b5
1k4r1/ppn5/3pqR1n/2pNp2Q/4P3/2PP2PP/PP1B2P1/R5K1 b - - 4 26,e6d7
1k4r1/ppnq4/3p1R1Q/2pNp3/4P3/2PP2PP/PP1B2P1/R5K1 b - - 0 27,c7d5
